Latitude,Longitude,Altitude,density
40.748785,30.3305326,263.31,0.097823198
40.7487947,30.3306075,263.25,0.097799803
40.7488013,30.330683,263.18,0.097823198
40.7488047,30.3307589,263.09,0.097870037
40.7488051,30.330835,263.0,0.097823198
40.7488028,30.3309108,262.9,0.097776426
40.7487979,30.3309867,262.79,0.097776426
40.7487906,30.3310626,262.65,0.097846609
40.748781,30.331139,262.52,0.097799803
40.7487696,30.3312126,262.39,0.097799803
40.7487562,30.3312867,262.28,0.097776426
40.7487413,30.3313602,262.17,0.097846609
40.748725,30.3314332,262.05,0.097776426
40.7487076,30.3315056,261.94,0.097823198
40.7486891,30.3315778,261.85,0.097729721
40.7486696,30.3316499,261.76,0.097776426
40.7486491,30.3317224,261.68,0.097776426
40.7486284,30.3317934,261.63,0.097776426
40.7486072,30.3318646,261.58,0.097776426
40.7485856,30.3319355,261.52,0.097776426
40.748564,30.3320054,261.5,0.097753065
40.7485421,30.3320761,261.47,0.097776426
40.7485201,30.3321464,261.44,0.097776426
40.748498,30.3322173,261.44,0.097823198
40.7484757,30.3322889,261.45,0.097753065
40.748454,30.3323594,261.47,0.097776426
40.7484323,30.3324301,261.48,0.097776426
40.7484107,30.3325012,261.5,0.097729721
40.7483893,30.3325721,261.52,0.097706394
40.7483682,30.3326431,261.54,0.097706394
40.7483474,30.332714,261.55,0.097729721
40.7483272,30.3327837,261.58,0.097683083
40.7483069,30.3328552,261.6,0.097729721
40.7482866,30.3329276,261.6,0.097636512
40.7482668,30.3329994,261.6,0.097729721
40.7482472,30.3330716,261.62,0.097683083
40.7482281,30.3331437,261.65,0.097683083
40.7482092,30.3332159,261.67,0.097706394
40.7481906,30.3332879,261.69,0.097659789
40.7481724,30.3333597,261.7,0.097683083
40.7481545,30.3334315,261.71,0.097683083
40.7481368,30.3335035,261.72,0.097659789
40.7481192,30.3335756,261.74,0.097636512
40.7481018,30.3336486,261.76,0.097706394
40.7480844,30.3337216,261.76,0.097636512
40.7480672,30.333795,261.77,0.097636512
40.7480501,30.3338684,261.78,0.097636512
40.7480332,30.3339415,261.8,0.097636512
40.7480165,30.3340144,261.82,0.097659789
